sku,image_path,storage_object,status,detail
GTANK00003,DATA1_Images/GTANK00003.PIC.105359.jpg,drive-source/9360103230ed1978a74c/GTANK00003.PIC.105359.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/9360103230ed1978a74c/GTANK00003.PIC.105359.jpg?v=9360103230ed1978a74c
GTANK00004,DATA1_Images/GTANK00004.PIC.105405.jpg,drive-source/fbb050aff92e1761af97/GTANK00004.PIC.105405.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/fbb050aff92e1761af97/GTANK00004.PIC.105405.jpg?v=fbb050aff92e1761af97
GTANK00005,DATA1_Images/GTANK00005.PIC.105416.jpg,drive-source/a90689a9a215cad1f4fe/GTANK00005.PIC.105416.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/a90689a9a215cad1f4fe/GTANK00005.PIC.105416.jpg?v=a90689a9a215cad1f4fe
GTANK00006,DATA1_Images/GTANK00006.PIC.105422.jpg,drive-source/4c20a460fbe344f2d7b6/GTANK00006.PIC.105422.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/4c20a460fbe344f2d7b6/GTANK00006.PIC.105422.jpg?v=4c20a460fbe344f2d7b6
GTANK00007,DATA1_Images/GTANK00007.PIC.105429.jpg,drive-source/e63b8bd0a09d5e2c9658/GTANK00007.PIC.105429.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/e63b8bd0a09d5e2c9658/GTANK00007.PIC.105429.jpg?v=e63b8bd0a09d5e2c9658
GTANK00008,DATA1_Images/GTANK00008.PIC.092121.jpg,drive-source/d4ef43811036912d252c/GTANK00008.PIC.092121.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/d4ef43811036912d252c/GTANK00008.PIC.092121.jpg?v=d4ef43811036912d252c
GTANK00012,DATA1_Images/GTANK00012.PIC.092249.jpg,drive-source/2819be8ec4b441b4401d/GTANK00012.PIC.092249.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/2819be8ec4b441b4401d/GTANK00012.PIC.092249.jpg?v=2819be8ec4b441b4401d
GTANK00013,DATA1_Images/GTANK00013.PIC.092202.jpg,drive-source/40ca9c2197e8ab204d64/GTANK00013.PIC.092202.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/40ca9c2197e8ab204d64/GTANK00013.PIC.092202.jpg?v=40ca9c2197e8ab204d64
GTFM00001,DATA1_Images/GTFM00001.PIC.075717.jpg,drive-source/b436400a95e05e904794/GTFM00001.PIC.075717.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/b436400a95e05e904794/GTFM00001.PIC.075717.jpg?v=b436400a95e05e904794
GTFM00002,DATA1_Images/GTFM00002.PIC.075806.jpg,drive-source/82f27bacc561dc413b2f/GTFM00002.PIC.075806.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/82f27bacc561dc413b2f/GTFM00002.PIC.075806.jpg?v=82f27bacc561dc413b2f
GTFM00003,DATA1_Images/GTFM00003.PIC.075935.jpg,drive-source/c0d7e89c087d4f5088f7/GTFM00003.PIC.075935.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/c0d7e89c087d4f5088f7/GTFM00003.PIC.075935.jpg?v=c0d7e89c087d4f5088f7
GTFM00004,DATA1_Images/GTFM00004.PIC.080009.jpg,drive-source/7ebe274ab0fa219a6990/GTFM00004.PIC.080009.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/7ebe274ab0fa219a6990/GTFM00004.PIC.080009.jpg?v=7ebe274ab0fa219a6990
GTFM00005,DATA1_Images/GTFM00005.PIC.080102.jpg,drive-source/0d669e7bfb37216ba875/GTFM00005.PIC.080102.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/0d669e7bfb37216ba875/GTFM00005.PIC.080102.jpg?v=0d669e7bfb37216ba875
GTFM00006,DATA1_Images/GTFM00006.PIC.080601.jpg,drive-source/2aa890d27d7eee7a1b83/GTFM00006.PIC.080601.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/2aa890d27d7eee7a1b83/GTFM00006.PIC.080601.jpg?v=2aa890d27d7eee7a1b83
GTFM00007,DATA1_Images/GTFM00007.PIC.080335.jpg,drive-source/faf6fc64664dc17083d0/GTFM00007.PIC.080335.jpg,UPLOADED,https://cyacvmjkqgnbihivsrtf.supabase.co/storage/v1/object/public/parts-images/drive-source/faf6fc64664dc17083d0/GTFM00007.PIC.080335.jpg?v=faf6fc64664dc17083d0
