machine_code,occurrences,part_count,example_parts
MLG-05,26,26,"GBR00017, GBR00091, GBR00100, GBR00103, GBR00109, GBR00110, GBR00137, GBR00168, GBR00208, GBR00236, GBR00293, GCNT00002, GCNT00008, GCNT00010, GCNT00020, GCTTM00024, GDWG00001, GDWG00002, GDWG00059, GFTT00139"
SBT-07,26,26,"GAFT00032, GBS00051, GBT00015, GBT00036, GBT00062, GBTR00003, GCNT00020, GFMT00010, GMT00004, GMT00024, GMT00052, GOR00079, GOVL00006, GOVL00016, GPP00033, GRY00033, GSLN00030, GSLN00031, GSLN00035, GSR00027"
BSM-05,26,26,"GBR00045, GBR00056, GBR00077, GBR00091, GBR00094, GBR00100, GBR00104, GBR00126, GBR00168, GBR00218, GBR00271, GBT00030, GBTR00001, GCNT00003, GFTT00053, GFTT00064, GFTT00149, GLA00022, GOVL00032, GPS00007"
SPG-06,26,26,"GBR00014, GBR00039, GBR00082, GBT00009, GBT00051, GBT00118, GCHUCK00002, GCTTM00001, GDWG00027, GDWG00028, GDWG00030, GDWG00033, GDWG00034, GFT00008, GFT00009, GMT00056, GOR00098, GOR00147, GOR00148, GPS00011"
BFD-26,25,25,"GBR00105, GBTR00001, GFT00018, GHC00003, GMNT00005, GMNT00012, GMNT00016, GMNT00029, GMT00073, GOR00041, GOR00075, GOR00076, GOR00077, GOR00095, GOR00136, GOVL00016, GOVL00022, GOVL00034, GPP00037, GPS00017"
BLK-07,25,25,"GBR00020, GBS00056, GCNT00021, GFMT00021, GFMT00023, GFTT00057, GFTT00159, GMNT00001, GMNT00027, GMNT00028, GMT00016, GMT00022, GPS00010, GPS00010-A, GRY00050, GSLN00057, GSR00017, GSR00045, GSR00073, GSR00078"
BFD-09,24,24,"GA00009, GA00010, GA00011, GA00012, GB00018, GBR00007, GBR00090, GBT00014, GCHUCK00008, GCNT00023, GCTTM00027, GFMT00005, GFTT00172, GMNT00001, GOVL00009, GPG00002, GPS00007, GRY00054, GSR00040, GSR00041"
MLG-03,24,24,"GBOX00006, GCNT00009, GDWG00059, GFTT00008, GFTT00056, GMNT00016, GOVL00002, GOVL00003, GOVL00004, GOVL00016, GOVL00024, GOVL00047, GOVL00049, GOVL00052, GRY00064, GSLN00015, GSLN00040, GSLN00087, GSLN00093, GSR00132"
BSM-LINE,24,24,"GBR00072, GBR00079, GBR00193, GFTT00073, GFTT00097, GGC00010, GGC00011, GHC00006, GMNT00053, GMT00064, GOR00075, GOVL00040, GOVL00050, GSCBIG00016, GSCBIG00017, GSCBIG00025, GSLN00041, GSLN00044, GSLN00056, GSR00023"
SPG-10,24,24,"GBR00014, GBR00039, GBR00087, GBR00153, GBR00174, GBR00175, GBR00190, GBT00042, GBT00051, GBTR00003, GCTTM00001, GDWG00045, GFTT00183, GOR00147, GOR00148, GPS00004, GPS00018, GRY00008, GRY00066, GSCBIG00013"
SPG-07,23,23,"GBR00014, GBR00039, GBR00082, GBR00087, GBR00153, GBR00174, GBR00175, GBS00018, GBT00051, GBTR00003, GDWG00027, GDWG00028, GDWG00030, GDWG00033, GDWG00034, GDWG00040, GOR00147, GOR00148, GSLN00078, GSR00008"
WSM-01,22,22,"GB00092, GBR00038, GBR00165, GBT00145, GBTR00006, GBTR00014, GBTR00019, GCHUCK00001, GFTT00057, GFTT00159, GLA00031, GMT00033-A, GMT00035, GMT00037, GMT00053, GMT00055, GRY00044, GSLN00067, GSLN00068, GSLN00069"
BFD-25,22,22,"GA00012, GBR00010, GMNT00001, GMNT00016, GMNT00027, GOVL00001, GOVL00002, GOVL00003, GOVL00016, GOVL00022, GOVL00026, GPS00001, GRY00014, GRY00040, GRY00050, GRY00051, GSLN00010, GSR00104, GSVA00027, GSW00015"
TNG-09,22,22,"GBR00018, GBR00019, GBR00044, GBR00123, GBR00187, GBR00202, GBS00016, GBS00017, GBT00071, GBTR00004, GOR00016, GOR00095, GOR00140, GPG00005, GPG00010, GPP00008, GPS00009, GSCBIG00017, GSLN00013, GSLN00047"
KWY-01,22,22,"GBR00018, GBS00049, GBS00061, GBT00012, GCHUCK00005, GFANUC00001, GFTT00072, GFTT00095, GFTT00098, GOR00070, GOR00090, GOR00128, GOVL00017, GSLN00046, GSLN00076, GSLN00101, GSR00066, GSR00079, GSR00198, GSW00013"
IGM-02,21,21,"GBR00006, GBS00019, GFMT00023, GFTT00014, GFTT00056, GFTT00063, GFTT00153, GMP00008, GOR00034, GOR00047, GOR00062, GOR00063, GPG00010, GSR00035, GSR00076, GSR00079, GSR00112, GSR00113, GSR00120, GSR00121"
BSM-11,21,21,"GBK00008, GBR00142, GCTTM00004, GFTT00008, GFTT00055, GFTT00056, GFTT00064, GFTT00077, GFTT00078, GFTT00099, GHC00001, GIVT00036, GLA00011, GLA00022, GOR00035, GPS00005, GRY00008, GSLN00076, GSR00111, GSVA00028"
TNG-11,21,21,"GBTR00011, GFMT00003, GFMT00004, GFMT00006, GFMT00021, GFMT00022, GFMT00024, GFMT00027, GMNT00005, GMNT00008, GMNT00028, GOVL00003, GPP00008, GRY00008, GRY00014, GRY00017, GRY00051, GRY00052, GRY00054, GSCBIG00022"
SBT-13,21,21,"GBR00233, GBT00015, GCHUCK00007, GFMT00004, GFTT00075, GOR00074, GOR00080, GOR00081, GOR00084, GOR00092, GOR00097, GOR00105, GOR00106, GOR00109, GOR00129, GRY00033, GSLN00030, GSLN00031, GSLN00035, GSLN00055"
CGM-10,21,21,"GAFT00028, GBR00128, GBT00011, GBT00125, GBTR00006, GFTT00094, GOR00029, GOR00139, GOR00141, GOR00142, GOR00143, GOR00144, GSR00012, GSR00028, GSR00057, GSR00062, GSR00065, GSR00066, GSR00079, GSR00082"
IDG-05,21,21,"GAFT00012, GBR00013, GBR00080, GBR00139, GBR00184, GBR00193, GCTTM00008, GCTTM00025, GCTTM00026, GDWG00011, GFTT00124, GPG00002, GRY00002, GRY00017, GRY00043, GSLN00004, GSR00073, GSW00015, GSW00016, GSW00023"
SPG-LINE,21,21,"GA00007, GBS00004, GBS00005, GBS00052, GBS00053, GCNT00008, GCNT00010, GCTTM00012, GCTTM00013, GCTTM00017, GGC00009, GMNT00039, GOR00104, GPLC00012, GPS00001, GRY00009, GRY00035, GSR00040, GSR00114, GSR00153"
BLK-02,20,20,"GBR00197, GBTR00010, GCTTM00021, GFMT00004, GFMT00006, GFUSE00016, GJON00060, GMT00008, GMT00044, GOR00025, GRY00004, GRY00016, GRY00017, GRY00052, GSR00042, GSR00051, GSR00078, GSR00117, GSR00144, GSW00066"
STN-04,19,19,"GBR00247, GCHUCK00006, GFANUC00005, GLA00022, GMNT00016, GMNT00024, GMNT00030, GOR00024, GOR00031, GOR00044, GOR00052, GOR00132, GOVL00016, GOVL00019, GPP00008, GPP00029, GSR00063, GSW00039, GVV00011"
PVD-01,19,19,"GAFT00003, GBK00008, GBOX00004, GBOX00007, GCTTM00007, GFTT00088, GHC00001, GHEAT00001, GOR00157, GPP00016, GRY00035, GRY00037, GSR00003, GSR00031, GSR00096, GSR00098, GSR00099, GVV00020, GVV00021"
